song,genre,length,zcr.1,zcr.2,zcr.3,zcr.4,zcr.5,zcr.6,zcr.7,zcr.8,zcr.9,zcr.10,roughness.1,roughness.2,roughness.3,roughness.4,roughness.5,roughness.6,roughness.7,roughness.8,roughness.9,roughness.10,amplitude.1,amplitude.2,amplitude.3,amplitude.4,amplitude.5,amplitude.6,amplitude.7,amplitude.8,amplitude.9,amplitude.10,Q25.1,Q75.1,centroid.1,skewness.1,kurtosis.1,flatness.1,entropy.1,Q25.2,Q75.2,centroid.2,skewness.2,kurtosis.2,flatness.2,entropy.2,Q25.3,Q75.3,centroid.3,skewness.3,kurtosis.3,flatness.3,entropy.3,Q25.4,Q75.4,centroid.4,skewness.4,kurtosis.4,flatness.4,entropy.4,Q25.5,Q75.5,centroid.5,skewness.5,kurtosis.5,flatness.5,entropy.5,Q25.6,Q75.6,centroid.6,skewness.6,kurtosis.6,flatness.6,entropy.6,Q25.7,Q75.7,centroid.7,skewness.7,kurtosis.7,flatness.7,entropy.7,Q25.8,Q75.8,centroid.8,skewness.8,kurtosis.8,flatness.8,entropy.8,Q25.9,Q75.9,centroid.9,skewness.9,kurtosis.9,flatness.9,entropy.9,Q25.10,Q75.10,centroid.10,skewness.10,kurtosis.10,flatness.10,entropy.10
Cello Sonata No. 5 in D Major_ Op. 102_ No. 2_ iii. Allegro. Allegro fugato - Antonio Janigro & Jorg Demus,Classical,267.004966,0.034444444,0.032789116,0.036213152,0.029206349,0.036780045,0.029183673,0.031269841,0.030884354,0.031292517,0.03845805,8.46173E+11,8.44986E+11,8.43647E+11,8.43477E+11,8.44328E+11,8.46059E+11,8.46945E+11,8.46895E+11,8.47106E+11,8.46885E+11,0.108700539,0.108527536,0.108832037,0.109131995,0.108965086,0.108794552,0.108726376,0.108556134,0.108562017,0.108814812,3511.07962,11215.25433,8027.083225,5.869097075,56.68038697,0.56761163,0.939173709,3510.159191,11214.50859,8026.142996,5.885620011,57.08794212,0.583883295,0.939096375,3511.159236,11216.50869,8030.868374,5.900184771,57.42116919,0.586432908,0.939155775,3512.159282,11220.50887,8040.165836,5.908787743,57.62028335,0.578697296,0.939287624,3513.159327,11227.50918,8048.309787,5.908482956,57.60712021,0.5794047,0.939380771,3513.159327,11232.50941,8053.419682,5.899216759,57.36913425,0.568156141,0.939442948,3513.159327,11232.50941,8051.905692,5.885496066,57.03635705,0.55449848,0.939358772,3513.159327,11231.50937,8048.26346,5.873989994,56.75592506,0.552442255,0.939281067,3512.159282,11228.50923,8042.924493,5.867429121,56.60405625,0.572734824,0.939269534,3511.159236,11221.50891,8035.613451,5.864279772,56.55402825,0.574459939,0.939257063
Cello Sonata No. 3 in A Minor_ Op. 69_ ii. Scherzo_ Allegro molto - Antonio Janigro & Jorg Demus,Classical,307.2719048,0.02755102,0.025351474,0.026780045,0.025487528,0.027868481,0.041882086,0.025328798,0.035056689,0.031156463,0.028866213,60584560756,60927420652,61634679723,62383692360,62972376817,63122311996,62819184882,62094043454,61339800263,60766388341,0.035440147,0.035453011,0.035478779,0.035514326,0.035470357,0.035398534,0.035366353,0.035374319,0.035419777,0.035426974,4031.091412,10066.22827,7857.396396,5.861501023,51.77878842,0.452711992,0.912299649,4039.183183,10069.45666,7871.28014,5.854029338,51.69856733,0.450933073,0.91222943,4057.183999,10084.45735,7900.238652,5.839866604,51.50775005,0.444451259,0.912392554,4063.184271,10102.45816,7926.138341,5.827255378,51.31759752,0.452970606,0.912506921,4071.184634,10118.45889,7946.643724,5.820851089,51.24251506,0.451092996,0.912584077,4079.184997,10127.4593,7958.741095,5.821822706,51.23402394,0.452348617,0.912697216,4079.184997,10124.45916,7952.805934,5.827383333,51.29401696,0.456168092,0.912742083,4067.184453,10106.45834,7927.541408,5.840255406,51.47946072,0.453905452,0.91268644,4056.183954,10085.45739,7895.454634,5.850454195,51.60241977,0.450452833,0.912501024,4037.183092,10070.45671,7867.371752,5.858197122,51.70199767,0.452510392,0.912404816
Cello Sonata in G Minor_ Op. 5_ No. 2_ i. Adagio sostenuto e espressivo (attaca) - Antonio Janigro & Jorg Demus,Classical,327.8769161,0.037800454,0.030612245,0.014761905,0.029773243,0.0369161,0.030453515,0.025464853,0.030907029,0.040566893,0.034058957,5.14154E+11,5.15062E+11,5.14549E+11,5.12651E+11,5.10268E+11,5.08541E+11,5.07665E+11,5.07751E+11,5.09438E+11,5.12051E+11,0.11117835,0.111148553,0.11116966,0.111068829,0.111037695,0.111238808,0.111365748,0.111166939,0.111113891,0.111208579,3234.073338,10371.23519,7880.016575,8.099769295,101.5837131,0.507660656,0.917214424,3227.146356,10383.47091,7877.786055,8.094116786,101.4032127,0.511332823,0.917068085,3208.145494,10356.46968,7865.66685,8.097160876,101.4683193,0.508943808,0.91691335,3201.145177,10298.46705,7849.440542,8.104937778,101.6010929,0.505245427,0.916830813,3196.14495,10230.46397,7836.037696,8.115531456,101.790049,0.501612816,0.916861721,3195.144905,10196.46242,7831.603539,8.124603159,101.9675501,0.496833527,0.916983527,3200.145131,10201.46265,7839.457451,8.129122291,102.0592731,0.50016289,0.917190015,3204.145313,10240.46442,7853.262646,8.126273306,101.9938855,0.498281303,0.917373569,3213.145721,10290.46669,7867.342088,8.115602758,101.7744665,0.49702416,0.917431246,3227.146356,10335.46873,7876.239024,8.102255839,101.5137461,0.504806843,0.917321435
Cello Sonata in F Major_ Op. 5_ No. 1_ ii. Rondo_ Allegro vivace - Antonio Janigro & Jorg Demus,Classical,413.752449,0.029977324,0.034353741,0.027913832,0.025396825,0.034444444,0.026258503,0.029024943,0.031292517,0.015260771,0.031247166,3.08815E+11,3.08146E+11,3.07408E+11,3.06828E+11,3.06757E+11,3.07151E+11,3.07802E+11,3.0845E+11,3.08988E+11,3.0917E+11,0.070587817,0.070534336,0.070454461,0.070605399,0.070582577,0.070633112,0.070673794,0.070601031,0.070638085,0.070658219,3616.082001,9445.214187,7616.579825,4.795342678,36.24296771,0.426853788,0.9160275,3615.163953,9442.428228,7609.128995,4.793044676,36.19648011,0.444183565,0.915930385,3615.163953,9441.428183,7599.369487,4.790152207,36.15686581,0.442942356,0.915869805,3615.163953,9437.428001,7590.893812,4.789888838,36.1524566,0.439959329,0.915806186,3615.163953,9434.427865,7586.587197,4.790548336,36.15388226,0.440108485,0.915805149,3615.163953,9435.427911,7587.352187,4.791269173,36.15945902,0.443856829,0.915960982,3615.163953,9438.428047,7592.126241,4.790885416,36.15936646,0.4380078,0.916120632,3615.163953,9441.428183,7599.99913,4.789800847,36.15524513,0.434504998,0.916186538,3616.163998,9443.428273,7609.039062,4.790270456,36.17348422,0.430584817,0.916203485,3616.163998,9444.428319,7615.707867,4.79360897,36.22532646,0.441472559,0.916141917
Cello Sonata No. 5 in D Major_ Op. 102_ No. 2_ i. Allegro con brio - Antonio Janigro & Jorg Demus,Classical,414.4249206,0.041156463,0.039070295,0.032834467,0.026394558,0.033628118,0.036575964,0.029795918,0.026553288,0.038231293,0.01952381,5.77979E+11,5.76686E+11,5.77796E+11,5.80438E+11,5.83976E+11,5.87116E+11,5.88356E+11,5.87068E+11,5.84033E+11,5.80448E+11,0.076480945,0.07659355,0.076460379,0.076487555,0.076455103,0.076355957,0.076127056,0.076278415,0.076232653,0.076194048,3536.080187,12524.28401,8405.026722,6.047486089,59.85649196,0.588337417,0.938961335,3536.16037,12530.56828,8402.598692,6.050078246,59.95380643,0.567674745,0.938916805,3540.160551,12546.56901,8406.189255,6.068345864,60.3093621,0.580940501,0.939068002,3544.160733,12547.56905,8409.209538,6.087022461,60.66358193,0.595706933,0.939166624,3550.161005,12545.56896,8414.752543,6.096240546,60.82377994,0.606110547,0.939212538,3556.161277,12543.56887,8420.084992,6.096008664,60.80901289,0.607205851,0.939230733,3552.161096,12547.56905,8425.332903,6.087029662,60.6066287,0.605721958,0.939275402,3546.160824,12547.56905,8423.786798,6.074767024,60.34736378,0.59906693,0.939206576,3540.160551,12538.56864,8415.18171,6.062495759,60.09465661,0.582997833,0.939064392,3536.16037,12531.56833,8408.390818,6.052683205,59.91982247,0.57930131,0.938955731
Cello Sonata in G Minor_ Op. 5_ No. 2_ ii. Allegro molto più tosto presto - Antonio Janigro & Jorg Demus,Classical,440.0706349,0.027301587,0.037324263,0.042335601,0.033061224,0.044058957,0.049909297,0.050362812,0.039365079,0.038185941,0.041791383,5.64064E+11,5.60523E+11,5.57456E+11,5.5547E+11,5.559E+11,5.58643E+11,5.62642E+11,5.66161E+11,5.67788E+11,5.66725E+11,0.035293606,0.035386192,0.035350399,0.035292653,0.035282416,0.035226548,0.035181598,0.035177383,0.035254259,0.035288638,3718.084314,11810.26782,8687.18103,9.133794147,136.0776179,0.489496751,0.914176045,3717.168579,11809.53558,8682.818547,9.133170599,136.0787633,0.475981752,0.914104893,3717.168579,11809.53558,8683.278398,9.12911119,135.8949324,0.466400342,0.914042577,3717.168579,11810.53563,8688.407128,9.128252959,135.8074712,0.467867973,0.914133548,3717.168579,11810.53563,8692.315556,9.12667263,135.7803621,0.466184234,0.914113637,3716.168534,11810.53563,8691.265416,9.122481899,135.6894419,0.458497467,0.914042285,3716.168534,11811.53567,8690.697868,9.120913657,135.6591277,0.463847291,0.913993931,3716.168534,11811.53567,8689.0388,9.12417799,135.777492,0.47295806,0.913938356,3716.168534,11811.53567,8689.055267,9.129873783,135.9578791,0.47902369,0.914026033,3717.168579,11811.53567,8689.385451,9.132450651,136.0247218,0.484067596,0.914133767
Cello Sonata No. 5 in D Major_ Op. 102_ No. 2_ ii. Adagio con molto sentimento d'affetto - Antonio Janigro & Jorg Demus,Classical,532.1173469,0.03707483,0.061882086,0.048004535,0.034875283,0.050748299,0.050725624,0.045011338,0.050997732,0.041564626,0.032290249,2.48849E+11,2.47289E+11,2.45917E+11,2.45226E+11,2.45841E+11,2.47633E+11,2.49366E+11,2.50524E+11,2.50855E+11,2.50171E+11,0.055715118,0.055793194,0.05574765,0.055697767,0.055691511,0.055667801,0.055722799,0.055820695,0.055733886,0.05577835,4187.09495,14785.33528,9463.924042,5.696260683,47.42979444,0.549640586,0.933896195,4184.189759,14785.67055,9457.254856,5.704538097,47.56293166,0.569347031,0.933938439,4184.189759,14783.67046,9451.54812,5.707242053,47.6063219,0.569928393,0.93389965,4183.189714,14780.67033,9445.33952,5.703995181,47.55328056,0.559271415,0.933873514,4183.189714,14780.67033,9446.538004,5.691698712,47.36111159,0.56203983,0.933796968,4183.189714,14787.67064,9455.235955,5.678816072,47.1755577,0.571458023,0.933867387,4183.189714,14806.6715,9465.823919,5.671104349,47.08238018,0.57728831,0.934079605,4185.189805,14814.67187,9475.0793,5.664738602,47.00963804,0.577772536,0.934072665,4189.189986,14809.67164,9480.719292,5.667986397,47.052248,0.5780534,0.934034009,4189.189986,14789.67073,9471.88179,5.681539252,47.24042148,0.586387729,0.93392263
Cello Sonata in G Minor_ Op. 5_ No. 2_ iii. Rondo_ Allegro - Antonio Janigro & Jorg Demus,Classical,543.201678,0.029818594,0.027437642,0.02031746,0.032222222,0.040249433,0.040113379,0.042539683,0.034897959,0.032653061,0.035238095,27043976160,27046040632,27035716661,27021930707,27023651131,27001862749,27009911041,27045448214,27034470392,27050931584,0.012336579,0.012333718,0.012324814,0.012323169,0.012348822,0.012304001,0.012308694,0.012317876,0.012328039,0.012307633,3992.090528,11674.26473,7806.663291,5.581125199,47.51469592,0.374653533,0.910231527,3991.181006,11664.529,7801.466919,5.57964025,47.48448397,0.378720983,0.910227743,3991.181006,11663.52896,7802.144476,5.575303128,47.42331601,0.390016617,0.910300929,3991.181006,11666.52909,7802.256948,5.584120122,47.61482188,0.379127114,0.910363941,3992.181051,11673.52941,7808.52716,5.587435409,47.68715277,0.37507771,0.910490777,3993.181097,11676.52955,7811.686766,5.594213254,47.82710038,0.379585151,0.910531919,3993.181097,11682.52982,7814.887038,5.595604354,47.82626744,0.373974905,0.91046451,3993.181097,11683.52987,7817.419832,5.593190887,47.73893144,0.364886526,0.910371346,3993.181097,11682.52982,7816.151157,5.591206498,47.71870439,0.369426468,0.910264986,3992.181051,11677.52959,7812.374394,5.586506068,47.59149064,0.362667576,0.910283255
Cello Sonata No. 3 in A Minor_ Op. 69_ i. Allegro ma non tanto - Antonio Janigro & Jorg Demus,Classical,797.8944898,0.027981859,0.032403628,0.033151927,0.03015873,0.025804989,0.022154195,0.026462585,0.027800454,0.025328798,0.022380952,44350898704,44299481473,44389832813,44597731459,44840492558,45008966817,45062972526,44948528349,44728713814,44473277110,0.035719534,0.035732262,0.035729018,0.035797125,0.035778108,0.035741894,0.035776193,0.035718214,0.035685413,0.035678192,3776.085629,9105.206477,7266.623272,9.274764614,115.7139801,0.415982208,0.887007347,3773.171119,9134.414259,7271.923025,9.271167808,115.6225203,0.422216227,0.887109896,3773.171119,9176.416164,7276.299935,9.271850796,115.6466779,0.422538851,0.887116169,3776.171255,9218.418069,7284.16701,9.268571784,115.5918645,0.431752594,0.887145461,3778.171346,9238.418976,7288.583227,9.265027516,115.5347121,0.426845075,0.88717607,3785.171663,9256.419792,7292.339035,9.263052585,115.5126945,0.434394366,0.887218191,3788.171799,9252.419611,7292.19525,9.2624795,115.4993736,0.420609299,0.887251525,3785.171663,9223.418296,7283.734097,9.262705766,115.5041729,0.41527003,0.88720488,3779.171391,9189.416754,7274.662224,9.263886222,115.5048211,0.421125913,0.887157684,3773.171119,9118.413533,7265.892671,9.267098239,115.5532775,0.422574232,0.88697601
Concerto for Four Harpsichords in A Minor_ BWV 1065 II. Largo - Bach,Classical,56.05664399,0.065056689,0.07276644,0.071292517,0.046598639,0.069160998,0.070430839,0.060181406,0.08462585,0.087687075,0.078662132,1.65896E+12,1.65437E+12,1.64746E+12,1.65711E+12,1.6708E+12,1.66729E+12,1.65403E+12,1.64553E+12,1.6488E+12,1.65377E+12,0.052954803,0.052743732,0.052591604,0.052728426,0.052993497,0.052966722,0.053006458,0.052600166,0.052917381,0.053066239,4462.101186,15636.35458,10045.97434,6.219712472,70.9748326,0.662088439,0.954267875,4456.202095,15602.70761,10035.83662,6.213667309,70.66974251,0.630012581,0.954327651,4443.201506,15587.70693,10028.56662,6.213179365,70.67564713,0.66930117,0.954114024,4447.201687,15597.70738,10035.26575,6.212610066,70.59867933,0.67514369,0.953801754,4463.202413,15637.70919,10054.23331,6.230036026,70.78013883,0.656770003,0.954027239,4458.202186,15664.71042,10061.3604,6.230504192,70.79702865,0.653988159,0.954038422,4449.201778,15669.71064,10059.21709,6.240288899,71.15819486,0.691903912,0.954220163,4441.201415,15650.70978,10043.5359,6.238139838,71.32615186,0.664581149,0.954059539,4442.20146,15653.70992,10045.42896,6.223081986,71.15484937,0.653623426,0.953821043,4447.201687,15635.7091,10040.59774,6.233459474,71.35966774,0.652429272,0.954145548
