Title,Artist,Album,Track,Year,Length,Size,Last Modified,Path,Filename,Genre
"Cello Sonata No. 5 in D Major, Op. 102, No. 2: iii. Allegro. Allegro fugato",Antonio Janigro & Jorg Demus,Big Beethoven Box,31/176,2012,267,7.88 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"31 - Cello Sonata No. 5 in D Major, Op. 102, No. 2_ iii. Allegro. Allegro fugato.mp3",Classical
"Cello Sonata No. 3 in A Minor, Op. 69: ii. Scherzo: Allegro molto",Antonio Janigro & Jorg Demus,Big Beethoven Box,25/176,2012,307,9.19 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"25 - Cello Sonata No. 3 in A Minor, Op. 69_ ii. Scherzo_ Allegro molto.mp3",Classical
"Cello Sonata in G Minor, Op. 5, No. 2: i. Adagio sostenuto e espressivo (attaca)",Antonio Janigro & Jorg Demus,Big Beethoven Box,21/176,2012,328,9.66 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"21 - Cello Sonata in G Minor, Op. 5, No. 2_ i. Adagio sostenuto e espressivo (attaca).mp3",Classical
"Cello Sonata in F Major, Op. 5, No. 1: ii. Rondo: Allegro vivace",Antonio Janigro & Jorg Demus,Big Beethoven Box,20/176,2012,414,11.97 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"20 - Cello Sonata in F Major, Op. 5, No. 1_ ii. Rondo_ Allegro vivace.mp3",Classical
"Cello Sonata No. 5 in D Major, Op. 102, No. 2: i. Allegro con brio",Antonio Janigro & Jorg Demus,Big Beethoven Box,29/176,2012,414,12.08 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"29 - Cello Sonata No. 5 in D Major, Op. 102, No. 2_ i. Allegro con brio.mp3",Classical
"Cello Sonata in G Minor, Op. 5, No. 2: ii. Allegro molto più tosto presto",Antonio Janigro & Jorg Demus,Big Beethoven Box,22/176,2012,440,12.98 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"22 - Cello Sonata in G Minor, Op. 5, No. 2_ ii. Allegro molto più tosto presto.mp3",Classical
"Cello Sonata No. 5 in D Major, Op. 102, No. 2: ii. Adagio con molto sentimento d'affetto",Antonio Janigro & Jorg Demus,Big Beethoven Box,30/176,2012,532,15.73 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"30 - Cello Sonata No. 5 in D Major, Op. 102, No. 2_ ii. Adagio con molto sentimento d'affetto.mp3",Classical
"Cello Sonata in G Minor, Op. 5, No. 2: iii. Rondo: Allegro",Antonio Janigro & Jorg Demus,Big Beethoven Box,23/176,2012,543,15.77 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"23 - Cello Sonata in G Minor, Op. 5, No. 2_ iii. Rondo_ Allegro.mp3",Classical
"Cello Sonata No. 3 in A Minor, Op. 69: i. Allegro ma non tanto",Antonio Janigro & Jorg Demus,Big Beethoven Box,24/176,2012,798,23.05 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"24 - Cello Sonata No. 3 in A Minor, Op. 69_ i. Allegro ma non tanto.mp3",Classical
"Concerto for Four Harpsichords in A Minor, BWV 1065 II. Largo",Bach,Big Bach Set,59,2012,58,1.64 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"59 Concerto for Four Harpsichords in A Minor, BWV 1065 II. Largo.mp3",Classical
"French Suite No. 5 in G Major, BWV816 5. Bourrée",Bach,Big Bach Set,74,2012,64,1.87 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"74 French Suite No. 5 in G Major, BWV816 5. Bourrée.mp3",Classical
"French Suite No. 5 in G Major, BWV816 4. Gavotte",Bach,Big Bach Set,73,2012,72,1.92 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"73 French Suite No. 5 in G Major, BWV816 4. Gavotte.mp3",Classical
"Orchestral Suite No.2 in B Minor, BWV1067 6. Menuet",Bach,Big Bach Set,89,2012,78,2.11 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"89 Orchestral Suite No.2 in B Minor, BWV1067 6. Menuet.mp3",Classical
"Orchestral Suite No. 3 in D, BWV1068 4. Bourrée 1 and 2",Bach,Big Bach Set,94,2012,78,1.54 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"94 Orchestral Suite No. 3 in D, BWV1068 4. Bourrée 1 and 2.mp3",Classical
"Orchestral Suite No.2 in B Minor, BWV1067 7. Badinerie",Bach,Big Bach Set,90,2012,82,2.13 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"90 Orchestral Suite No.2 in B Minor, BWV1067 7. Badinerie.mp3",Classical
"French Suite No. 5 in G Major, BWV816 2. Courante",Bach,Big Bach Set,71,2012,92,2.59 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"71 French Suite No. 5 in G Major, BWV816 2. Courante.mp3",Classical
"Orchestral Suite No.2 in B Minor, BWV1067 2. Rondeau",Bach,Big Bach Set,85,2012,95,2.58 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"85 Orchestral Suite No.2 in B Minor, BWV1067 2. Rondeau.mp3",Classical
"Orchestral Suite No. 1 in C Major, BWV1066 4. Forlane",Bach,Big Bach Set,80,2012,98,1.93 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"80 Orchestral Suite No. 1 in C Major, BWV1066 4. Forlane.mp3",Classical
Mass in B Minor - Gloria In Excelsis Deo,Bach,Big Bach Set,4,2012,110,3.47 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,04 Mass in B Minor - Gloria In Excelsis Deo.mp3,Classical
Mass in B Minor - Credo In Unum Deum,Bach,Big Bach Set,13,2012,110,3.41 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,13 Mass in B Minor - Credo In Unum Deum.mp3,Classical
"Orchestral Suite No. 4 in D, BWV1069 3. Gavotte 1 and 2",Bach,Big Bach Set,98,2012,111,2.98 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"98 Orchestral Suite No. 4 in D, BWV1069 3. Gavotte 1 and 2.mp3",Classical
"French Suite No. 5 in G Major, BWV816 6. Louré",Bach,Big Bach Set,75,2012,114,2.97 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"75 French Suite No. 5 in G Major, BWV816 6. Louré.mp3",Classical
"Orchestral Suite No. 1 in C Major, BWV1066 2. Courante",Bach,Big Bach Set,78,2012,124,2.43 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"78 Orchestral Suite No. 1 in C Major, BWV1066 2. Courante.mp3",Classical
"Sonata in E-flat major for Flute and Harpsichord in E-flat Major, BWV 1031 II. Siciliano",Bach,Big Bach Set,65,2012,131,3.52 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"65 Sonata in E-flat major for Flute and Harpsichord in E-flat Major, BWV 1031 II. Siciliano.mp3",Classical
Mass in B Minor - Patrem Ominpotentem,Bach,Big Bach Set,14,2012,134,4.29 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,14 Mass in B Minor - Patrem Ominpotentem.mp3,Classical
"Orchestral Suite No.2 in B Minor, BWV1067 4. Bourrée 1 and 2",Bach,Big Bach Set,87,2012,134,3.62 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"87 Orchestral Suite No.2 in B Minor, BWV1067 4. Bourrée 1 and 2.mp3",Classical
Mass in B Minor - Pleni Sunt Coeli,Bach,Big Bach Set,23,2012,144,4.50 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,23 Mass in B Minor - Pleni Sunt Coeli.mp3,Classical
"Orchestral Suite No.2 in B Minor, BWV1067 3. Sarabande",Bach,Big Bach Set,86,2012,154,4.17 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"86 Orchestral Suite No.2 in B Minor, BWV1067 3. Sarabande.mp3",Classical
Mass in B Minor - Gratias Agimus Tibi,Bach,Big Bach Set,7,2012,160,5.03 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,07 Mass in B Minor - Gratias Agimus Tibi.mp3,Classical
"Orchestral Suite No. 4 in D, BWV1069 5. Réjouissance",Bach,Big Bach Set,100,2012,160,4.32 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"100 Orchestral Suite No. 4 in D, BWV1069 5. Réjouissance.mp3",Classical
"Harpsichord Concerto No. 5 in F Minor, BWV 1056 II. Largo",Bach,Big Bach Set,41,2012,163,4.78 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"41 Harpsichord Concerto No. 5 in F Minor, BWV 1056 II. Largo.mp3",Classical
Mass in B Minor - Kyrie Eleison,Bach,Big Bach Set,3,2012,165,5.15 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,03 Mass in B Minor - Kyrie Eleison.mp3,Classical
Mass in B Minor - Osanna In Excelsis (Reprise),Bach,Big Bach Set,26,2012,167,5.37 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,26 Mass in B Minor - Osanna In Excelsis (Reprise).mp3,Classical
"Orchestral Suite No. 1 in C Major, BWV1066 5. Menuet 1 and 2",Bach,Big Bach Set,81,2012,168,3.36 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"81 Orchestral Suite No. 1 in C Major, BWV1066 5. Menuet 1 and 2.mp3",Classical
Mass in B Minor - Osanna In Excelsis,Bach,Big Bach Set,24,2012,169,5.18 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,24 Mass in B Minor - Osanna In Excelsis.mp3,Classical
"Orchestral Suite No. 1 in C Major, BWV1066 6. Bourrée 1 and 2",Bach,Big Bach Set,82,2012,169,3.34 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"82 Orchestral Suite No. 1 in C Major, BWV1066 6. Bourrée 1 and 2.mp3",Classical
"French Suite No. 5 in G Major, BWV816 1. Allemande",Bach,Big Bach Set,70,2012,178,4.66 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"70 French Suite No. 5 in G Major, BWV816 1. Allemande.mp3",Classical
"Orchestral Suite No. 3 in D, BWV1068 5. Gigue",Bach,Big Bach Set,95,2012,179,3.41 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"95 Orchestral Suite No. 3 in D, BWV1068 5. Gigue.mp3",Classical
Mass in B Minor - Confiteor,Bach,Big Bach Set,20,2012,181,5.62 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,20 Mass in B Minor - Confiteor.mp3,Classical
"Orchestral Suite No.2 in B Minor, BWV1067 5. Polonaise. Double",Bach,Big Bach Set,88,2012,183,4.86 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"88 Orchestral Suite No.2 in B Minor, BWV1067 5. Polonaise. Double.mp3",Classical
"Brandenburg Concerto No. 2 in F Major, BWV1047 iii. Allegro assai",Bach,Big Bach Set,107,2012,183,5.06 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"107 Brandenburg Concerto No. 2 in F Major, BWV1047 iii. Allegro assai.mp3",Classical
Mass in B Minor - Qui Tollis Peccata Mundi,Bach,Big Bach Set,9,2012,191,5.73 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,09 Mass in B Minor - Qui Tollis Peccata Mundi.mp3,Classical
Partita No. 2 I. Allemande,Bach,Big Bach Set,29,2012,194,3.30 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,29 Partita No. 2 I. Allemande.mp3,Classical
Mass in B Minor - Dona Nobis Pacem,Bach,Big Bach Set,28,2012,195,5.44 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,28 Mass in B Minor - Dona Nobis Pacem.mp3,Classical
"Orchestral Suite No. 1 in C Major, BWV1066 7. Passepied 1 and 2",Bach,Big Bach Set,83,2012,195,3.80 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"83 Orchestral Suite No. 1 in C Major, BWV1066 7. Passepied 1 and 2.mp3",Classical
"Harpsichord Concerto No. 5 in F Minor, BWV 1056 I. Allegro",Bach,Big Bach Set,40,2012,200,5.62 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"40 Harpsichord Concerto No. 5 in F Minor, BWV 1056 I. Allegro.mp3",Classical
Mass in B Minor - Sanctus,Bach,Big Bach Set,22,2012,204,6.34 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,22 Mass in B Minor - Sanctus.mp3,Classical
"French Suite No. 5 in G Major, BWV816 7. Gigue",Bach,Big Bach Set,76,2012,207,5.74 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"76 French Suite No. 5 in G Major, BWV816 7. Gigue.mp3",Classical
"Orchestral Suite No. 4 in D, BWV1069 2. Bourrée 1 and 2",Bach,Big Bach Set,97,2012,208,5.57 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"97 Orchestral Suite No. 4 in D, BWV1069 2. Bourrée 1 and 2.mp3",Classical
"Italian Concerto in F Major, BWV971 3. Presto",Bach,Big Bach Set,69,2012,210,5.95 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"69 Italian Concerto in F Major, BWV971 3. Presto.mp3",Classical
"Orchestral Suite No. 3 in D, BWV1068 3. Gavotte 1 and 2",Bach,Big Bach Set,93,2012,210,4.06 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"93 Orchestral Suite No. 3 in D, BWV1068 3. Gavotte 1 and 2.mp3",Classical
"Orchestral Suite No. 1 in C Major, BWV1066 3. Gavotte 1 and 2",Bach,Big Bach Set,79,2012,211,4.19 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"79 Orchestral Suite No. 1 in C Major, BWV1066 3. Gavotte 1 and 2.mp3",Classical
Partita No. 2 III. Sarabande,Bach,Big Bach Set,31,2012,212,3.72 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,31 Partita No. 2 III. Sarabande.mp3,Classical
Partita No. 2 II. Courante,Bach,Big Bach Set,30,2012,217,3.75 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,30 Partita No. 2 II. Courante.mp3,Classical
Mass in B Minor - Et Incarnatus Est,Bach,Big Bach Set,16,2012,228,6.68 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,16 Mass in B Minor - Et Incarnatus Est.mp3,Classical
"Concerto for Four Harpsichords in A Minor, BWV 1065 I. Allegro",Bach,Big Bach Set,58,2012,231,6.57 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"58 Concerto for Four Harpsichords in A Minor, BWV 1065 I. Allegro.mp3",Classical
"Concerto for Two Harpsichords in C Minor, BWV 1062 I. Allegro",Bach,Big Bach Set,49,2012,232,6.80 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"49 Concerto for Two Harpsichords in C Minor, BWV 1062 I. Allegro.mp3",Classical
"Brandenburg Concerto No. 2 in F Major, BWV1047 ii. Andante",Bach,Big Bach Set,106,2012,235,6.20 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"106 Brandenburg Concerto No. 2 in F Major, BWV1047 ii. Andante.mp3",Classical
"Concerto for Two Harpsichords in C Minor, BWV 1060 III. Allegro",Bach,Big Bach Set,45,2012,238,6.60 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"45 Concerto for Two Harpsichords in C Minor, BWV 1060 III. Allegro.mp3",Classical
"Sonata in E-flat major for Flute and Harpsichord in E-flat Major, BWV 1031 I. Allegro moderato",Bach,Big Bach Set,64,2012,238,6.53 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"64 Sonata in E-flat major for Flute and Harpsichord in E-flat Major, BWV 1031 I. Allegro moderato.mp3",Classical
"Brandenburg Concerto No. 1 in F Major, BWV1046 i. Allegro moderato",Bach,Big Bach Set,101,2012,238,6.46 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"101 Brandenburg Concerto No. 1 in F Major, BWV1046 i. Allegro moderato.mp3",Classical
"Harpsichord Concerto No. 5 in F Minor, BWV 1056 III. Presto",Bach,Big Bach Set,42,2012,239,5.99 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"42 Harpsichord Concerto No. 5 in F Minor, BWV 1056 III. Presto.mp3",Classical
"Brandenburg Concerto No. 1 in F Major, BWV1046 ii. Adagio",Bach,Big Bach Set,102,2012,241,6.39 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"102 Brandenburg Concerto No. 1 in F Major, BWV1046 ii. Adagio.mp3",Classical
"Italian Concerto in F Major, BWV971 1. (Allegro)",Bach,Big Bach Set,67,2012,245,6.80 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"67 Italian Concerto in F Major, BWV971 1. (Allegro).mp3",Classical
Ave Maria,Bach,Big Bach Set,119,2012,245,6.27 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,119 Ave Maria.mp3,Classical
"Brandenburg Concerto No. 4 in G Major, BWV1049 ii. Andante",Bach,Big Bach Set,111,2012,246,6.42 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"111 Brandenburg Concerto No. 4 in G Major, BWV1049 ii. Andante.mp3",Classical
"Harpsichord Concerto No. 4 in A Major, BWV 1055 I. Allegro",Bach,Big Bach Set,37,2012,253,7.24 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"37 Harpsichord Concerto No. 4 in A Major, BWV 1055 I. Allegro.mp3",Classical
"Orchestral Suite No. 4 in D, BWV1069 4. Menuet 1 and 2",Bach,Big Bach Set,99,2012,255,6.76 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"99 Orchestral Suite No. 4 in D, BWV1069 4. Menuet 1 and 2.mp3",Classical
"Brandenburg Concerto No. 1 in F Major, BWV1046 iii. Allegro",Bach,Big Bach Set,103,2012,256,6.94 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"103 Brandenburg Concerto No. 1 in F Major, BWV1046 iii. Allegro.mp3",Classical
"Suite No. 3 in C Major, BWV 1009 - v. Bourrée",Bach,Big Bach Set,120,2012,257,6.78 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"120 Suite No. 3 in C Major, BWV 1009 - v. Bourrée.mp3",Classical
Partita No. 2 IV. Gigue,Bach,Big Bach Set,32,2012,262,4.58 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,32 Partita No. 2 IV. Gigue.mp3,Classical
Mass in B Minor - Et Expecto,Bach,Big Bach Set,21,2012,269,8.00 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,21 Mass in B Minor - Et Expecto.mp3,Classical
"Sonata in B Minor for Flute and Harpsichord in B Minor, BWV 1030 II. Largo e dolce",Bach,Big Bach Set,62,2012,269,6.96 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"62 Sonata in B Minor for Flute and Harpsichord in B Minor, BWV 1030 II. Largo e dolce.mp3",Classical
"French Suite No. 5 in G Major, BWV816 3. Sarabande",Bach,Big Bach Set,72,2012,270,7.00 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"72 French Suite No. 5 in G Major, BWV816 3. Sarabande.mp3",Classical
Mass in B Minor - Et In Terra Pax,Bach,Big Bach Set,5,2012,273,8.41 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,05 Mass in B Minor - Et In Terra Pax.mp3,Classical
"Brandenburg Concerto No. 6 in B-flat Major, BWV1051 ii. Adagio ma non tanto",Bach,Big Bach Set,117,2012,273,7.26 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"117 Brandenburg Concerto No. 6 in B-flat Major, BWV1051 ii. Adagio ma non tanto.mp3",Classical
"Harpsichord Concerto No. 4 in A Major, BWV 1055 III. Allegretto non tanto",Bach,Big Bach Set,39,2012,275,7.67 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"39 Harpsichord Concerto No. 4 in A Major, BWV 1055 III. Allegretto non tanto.mp3",Classical
Mass in B Minor - Cum Sancto Spiritu,Bach,Big Bach Set,12,2012,276,8.70 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,12 Mass in B Minor - Cum Sancto Spiritu.mp3,Classical
"Concerto for Three Harpsichords C Major, BWV 1064 III. Allegro",Bach,Big Bach Set,57,2012,277,7.78 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"57 Concerto for Three Harpsichords C Major, BWV 1064 III. Allegro.mp3",Classical
"Sonata in E-flat major for Flute and Harpsichord in E-flat Major, BWV 1031 III. Allegro",Bach,Big Bach Set,66,2012,279,7.24 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"66 Sonata in E-flat major for Flute and Harpsichord in E-flat Major, BWV 1031 III. Allegro.mp3",Classical
"Orchestral Suite No. 3 in D, BWV1068 2. Air ('On the G String')",Bach,Big Bach Set,92,2012,279,5.53 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"92 Orchestral Suite No. 3 in D, BWV1068 2. Air ('On the G String').mp3",Classical
Mass in B Minor - Crucifixus,Bach,Big Bach Set,17,2012,281,7.91 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,17 Mass in B Minor - Crucifixus.mp3,Classical
Mass in B Minor - Benedictus,Bach,Big Bach Set,25,2012,284,7.78 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,25 Mass in B Minor - Benedictus.mp3,Classical
"Concerto for Two Harpsichords in C Major, BWV 1061 II. Adagio ovvero Largo",Bach,Big Bach Set,47,2012,284,8.70 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"47 Concerto for Two Harpsichords in C Major, BWV 1061 II. Adagio ovvero Largo.mp3",Classical
"Concerto for Three Harpsichords in D Minor, BWV 1063 II. Alla Siciliana",Bach,Big Bach Set,53,2012,289,7.91 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"53 Concerto for Three Harpsichords in D Minor, BWV 1063 II. Alla Siciliana.mp3",Classical
Mass in B Minor - Et Resurrexit,Bach,Big Bach Set,18,2012,290,8.89 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,18 Mass in B Minor - Et Resurrexit.mp3,Classical
